id,posicion,pelicula,bruto,release,total,studio,mesActual
783,34,Afire,55150,Jul 14,55150,Sideshow Releasing,august
784,35,Kokomo City,49705,Jul 28,49705,Magnolia Pictures,august
785,36,Guardians of the Galaxy Vol. 3,39096,May 5,39096,Walt Disney Studios Motion Pictures,august
786,37,Joy Ride,36174,Jul 7,36174,Lionsgate,august
787,38,Contempt,33621,Jun 30,33621,Rialto Pictures,august
788,39,Day by Day,31141,Aug 11,31141,Utopia,august
789,40,Have You Got It Yet? The Story of Syd Barrett and Pink Floyd,28456,Jul 14,28456,Abramorama,august
790,41,Lakota Nation vs. United States,25173,Jul 14,25173,IFC Films,august
791,42,The Unknown Country,19294,Jul 28,19294,Music Box Films,august
792,43,A Compassionate Spy,18210,Aug 4,18210,Magnolia Pictures,august
793,44,Bobi Wine: The People's President,17908,Jul 28,17908,National Geographic Documentary Films,august
794,45,Tokyo Pop,15816,Aug 4,15816,Kino Lorber,august
795,46,The Beasts,14845,Jul 28,14845,Greenwich Entertainment,august
796,47,Aporia,14064,Aug 11,14064,Well Go USA Entertainment,august
797,48,Shiva Baby,13989,Aug 4,13989,Utopia,august
798,49,Winter Kills,11182,Aug 11,11182,Rialto Pictures,august
799,50,32 Sounds,9770,Apr 28,9770,Abramorama,august
800,51,The Wicker Man,7075,Jun 21,7075,Rialto Pictures,august
801,52,Between Two Worlds,6360,Aug 11,6360,Cohen Media Group,august
802,53,What Comes Around,5935,Aug 4,5935,IFC Films,august
803,54,Sympathy for the Devil,4979,Jul 28,4979,-,august
804,55,The League,3302,Jul 14,3302,Magnolia Pictures,august
805,56,The Others,3267,Aug 11,3267,Rialto Pictures,august
806,57,Squaring the Circle (The Story of Hipgnosis),2986,Jun 9,2986,Utopia,august
807,58,The Last Rider,2853,Jun 23,2853,Roadside Attractions,august
808,59,"Desperate Souls, Dark City and the Legend of Midnight Cowboy",2121,Jun 23,2121,Zeitgeist Films,august
809,60,Return to Dust,1869,Jul 21,1869,Film Movement,august
810,61,Love Life,1782,Aug 11,1782,Oscilloscope,august
811,62,Terrifier,1435,Jul 19,1435,-,august
812,63,Close to Vermeer,1416,May 26,1416,Kino Lorber,august
813,64,"Blind Willow, Sleeping Woman",1416,Apr 14,1416,-,august
814,65,It Ain't Over,1067,May 12,1067,Sony Pictures Entertainment (SPE),august
815,66,The Cow Who Sang a Song Into the Future,1005,May 19,1005,Kino Lorber,august
816,67,Operation Napoleon,909,Aug 11,909,Magnolia Pictures,august
817,68,Scarlet,898,Jun 9,898,Kino Lorber,august
818,69,Two Tickets to Greece,774,Jul 14,774,Greenwich Entertainment,august
819,70,Blue Jean,612,Jun 9,612,Magnolia Pictures,august
820,71,Chile '76,401,May 5,401,Kino Lorber,august
821,72,Final Cut,239,Jul 14,239,Kino Lorber,august
822,73,Revoir Paris,201,Jun 23,201,Music Box Films,august
823,74,Somewhere in Queens,155,Apr 21,155,Roadside Attractions,august
824,75,Other People's Children,66,Apr 21,66,Music Box Films,august
