id,posicion,pelicula,bruto,release,total,studio,mesActual
195,106,The Devil Conspiracy,515,Jan 13,515,-,february
196,107,Lowndes County and the Road to Black Power,363,Dec 2,363,Greenwich Entertainment,february
197,108,Hockeyland,301,Sep 9,301,Greenwich Entertainment,february
198,109,The Super 8 Years,294,Dec 16,294,Kino Lorber,february
199,110,Jethica,148,Jan 13,148,-,february
200,1,Creed III,145057951,Mar 3,145057951,United Artists Releasing,march
201,2,John Wick: Chapter 4,102486094,Mar 24,102486094,Lionsgate,march
202,3,Scream VI,94489431,Mar 10,94489431,Paramount Pictures,march
203,4,Shazam! Fury of the Gods,50077597,Mar 17,50077597,Warner Bros.,march
204,5,Ant-Man and the Wasp: Quantumania,39790194,Feb 17,39790194,Walt Disney Studios Motion Pictures,march
205,6,Cocaine Bear,35943145,Feb 24,35943145,Universal Pictures,march
206,7,Jesus Revolution,31031235,Feb 24,31031235,Lionsgate,march
207,8,65,29446263,Mar 10,29446263,Sony Pictures Entertainment (SPE),march
208,9,Dungeons & Dragons: Honor Among Thieves,15222358,Mar 31,15222358,Paramount Pictures,march
209,10,Avatar: The Way of Water,14829310,Dec 16,14829310,20th Century Studios,march
210,11,Champions,14462480,Mar 10,14462480,Focus Features,march
211,12,Puss in Boots: The Last Wish,10606505,Dec 21,10606505,Universal Pictures,march
212,13,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,10117806,Mar 3,10117806,Crunchyroll,march
213,14,Operation Fortune: Ruse de Guerre,6496125,Mar 3,6496125,Lionsgate,march
214,15,Everything Everywhere All at Once,3850585,Mar 25,3850585,A24,march
215,16,Mummies,3357731,Feb 24,3357731,Warner Bros.,march
216,17,Tu Jhoothi Main Makkaar,2469364,Mar 8,2469364,Yash Raj Films USA Inc.,march
217,18,Magic Mike's Last Dance,2312452,Feb 10,2312452,Warner Bros.,march
218,19,80 for Brady,2286692,Feb 3,2286692,Paramount Pictures,march
219,20,His Only Son,2199360,Mar 31,2199360,Angel Studios,march
220,21,Moving On,1985870,Mar 17,1985870,Roadside Attractions,march
221,22,A Man Called Otto,1764623,Dec 30,1764623,Columbia Pictures,march
222,23,A Good Person,1410997,Mar 24,1410997,United Artists Releasing,march
223,24,2023 Oscar Nominated Short Films: Live Action,1343928,Feb 17,1343928,ShortsTV,march
224,25,The Quiet Girl,1232017,Feb 24,1232017,Neon,march
225,26,Knock at the Cabin,1161190,Feb 3,1161190,Universal Pictures,march
226,27,Come Out in Jesus Name,930454,Mar 13,930454,Fathom Events,march
227,28,Missing,926051,Jan 20,926051,Sony Pictures Entertainment (SPE),march
228,29,Inside,897190,Mar 17,897190,Focus Features,march
229,30,The Lost King,816085,Mar 24,816085,IFC Films,march
230,31,A Thousand and One,703495,Mar 31,703495,Focus Features,march
231,32,Women Talking,632993,Dec 23,632993,United Artists Releasing,march
232,33,The Amazing Maurice,628864,Feb 3,628864,Viva Pictures,march
233,34,The Whale,624785,Dec 9,624785,A24,march
234,35,Emily,497790,Feb 17,497790,Bleecker Street Media,march
235,36,Return to Seoul,478361,Feb 17,478361,Sony Pictures Classics,march
236,37,M3gan,442085,Jan 6,442085,Universal Pictures,march
237,38,Living,419129,Dec 23,419129,Sony Pictures Classics,march
238,39,Titanic,401910,Feb 10,401910,Paramount Pictures,march
239,40,Children of the Corn,325583,Mar 3,325583,-,march
240,41,Southern Gospel,292845,Mar 10,292845,-,march
241,42,Pathaan,274401,Jan 25,274401,Yash Raj Films USA Inc.,march
242,43,RRR Fan CelebRRRation,256566,Mar 3,256566,Variance Films,march
243,44,School of Magical Animals,224923,Mar 24,224923,Blue Fox Entertainment,march
244,45,Close,194966,Jan 27,194966,A24,march
245,46,Marlowe,181448,Feb 15,181448,Open Road Films (II),march
246,47,The Fabelmans,163190,Nov 11,163190,Universal Pictures,march
247,48,Hidden Blade,161179,Feb 17,161179,Well Go USA Entertainment,march
248,49,Tár,159085,Oct 7,159085,Focus Features,march
249,50,The Banshees of Inisherin,147159,Oct 21,147159,Searchlight Pictures,march
250,51,The Magic Flute,141143,Mar 10,141143,Shout! Studios,march
251,52,UFC 286,132634,Mar 18,132634,-,march
252,53,¡Que viva México!,120602,Mar 24,120602,Sony Pictures Entertainment (SPE),march
253,54,Triangle of Sadness,99610,Oct 7,99610,Neon,march
254,55,Selfiee,97665,Feb 24,97665,-,march
255,56,"Crouching Tiger, Hidden Dragon",94091,Feb 17,94091,Sony Pictures Classics,march
256,57,Malum,90405,Mar 31,90405,-,march
257,58,Path of the Panther,73539,Feb 24,73539,-,march
258,59,The Wandering Earth II,63838,Jan 22,63838,Well Go USA Entertainment,march
259,60,Violent Night,63160,Dec 2,63160,Universal Pictures,march
260,61,One Fine Morning,57207,Jan 27,57207,Sony Pictures Entertainment (SPE),march
261,62,iMordecai,55289,Feb 10,55289,Greenwich Entertainment,march
262,63,Linoleum,53889,Feb 24,53889,Shout! Studios,march
263,64,Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,53625,Dec 30,53625,Sony Pictures Entertainment (SPE),march
264,65,Aftersun,49542,Oct 21,49542,A24,march
265,66,The Conformist,44934,Jan 6,44934,Kino Lorber,march
